,Prime,Prime_diff
905,3977,2101
906,3979,1878
907,3989,2111
908,3991,1880
909,4001,2121
910,4003,1882
911,4007,2125
912,4009,1884
913,4013,2129
914,4019,1890
915,4021,2131
916,4027,1896
917,4031,2135
918,4033,1898
919,4037,2139
920,4043,1904
921,4049,2145
922,4051,1906
923,4057,2151
924,4061,1910
925,4063,2153
926,4069,1916
927,4073,2157
928,4079,1922
929,4087,2165
930,4091,1926
931,4093,2167
932,4097,1930
933,4099,2169
934,4103,1934
935,4111,2177
936,4117,1940
937,4121,2181
938,4127,1946
939,4129,2183
940,4133,1950
941,4139,2189
942,4141,1952
943,4147,2195
944,4153,1958
945,4157,2199
946,4159,1960
947,4163,2203
948,4169,1966
949,4171,2205
950,4177,1972
951,4181,2209
952,4183,1974
953,4187,2213
954,4189,1976
955,4199,2223
956,4201,1978
957,4211,2233
958,4213,1980
959,4217,2237
960,4219,1982
961,4223,2241
962,4229,1988
963,4231,2243
964,4237,1994
965,4241,2247
966,4243,1996
967,4247,2251
968,4253,2002
969,4259,2257
970,4261,2004
971,4267,2263
972,4271,2008
973,4273,2265
974,4279,2014
975,4283,2269
976,4289,2020
977,4297,2277
978,4301,2024
979,4303,2279
980,4307,2028
981,4309,2281
982,4313,2032
983,4321,2289
984,4327,2038
985,4331,2293
986,4337,2044
987,4339,2295
988,4343,2048
989,4349,2301
990,4351,2050
991,4357,2307
992,4363,2056
993,4367,2311
994,4369,2058
995,4373,2315
996,4379,2064
997,4381,2317
998,4387,2070
999,4391,2321
1000,4393,2072
1001,4397,2325
1002,4399,2074
1003,4409,2335
1004,4411,2076
1005,4421,2345
1006,4423,2078
1007,4427,2349
1008,4429,2080
1009,4433,2353
1010,4439,2086
1011,4441,2355
1012,4447,2092
1013,4451,2359
1014,4453,2094
1015,4457,2363
1016,4463,2100
1017,4469,2369
1018,4471,2102
1019,4477,2375
1020,4481,2106
1021,4483,2377
1022,4489,2112
1023,4493,2381
1024,4499,2118
1025,4507,2389
1026,4511,2122
1027,4513,2391
1028,4517,2126
1029,4519,2393
1030,4523,2130
1031,4531,2401
1032,4537,2136
1033,4541,2405
1034,4547,2142
1035,4549,2407
1036,4553,2146
1037,4559,2413
1038,4561,2148
1039,4567,2419
1040,4573,2154
1041,4577,2423
1042,4579,2156
1043,4583,2427
1044,4589,2162
1045,4591,2429
1046,4597,2168
1047,4601,2433
1048,4603,2170
1049,4607,2437
1050,4609,2172
1051,4619,2447
1052,4621,2174
1053,4631,2457
1054,4633,2176
1055,4637,2461
1056,4639,2178
1057,4643,2465
1058,4649,2184
1059,4651,2467
1060,4657,2190
1061,4661,2471
1062,4663,2192
1063,4667,2475
1064,4673,2198
1065,4679,2481
1066,4681,2200
1067,4687,2487
1068,4691,2204
1069,4693,2489
1070,4699,2210
1071,4703,2493
1072,4709,2216
1073,4717,2501
1074,4721,2220
1075,4723,2503
1076,4727,2224
1077,4729,2505
1078,4733,2228
1079,4741,2513
1080,4747,2234
1081,4751,2517
1082,4757,2240
1083,4759,2519
1084,4763,2244
1085,4769,2525
1086,4771,2246
1087,4777,2531
1088,4783,2252
1089,4787,2535
1090,4789,2254
1091,4793,2539
1092,4799,2260
1093,4801,2541
1094,4807,2266
1095,4811,2545
1096,4813,2268
1097,4817,2549
1098,4819,2270
1099,4829,2559
1100,4831,2272
1101,4841,2569
1102,4843,2274
1103,4847,2573
1104,4849,2276
1105,4853,2577
1106,4859,2282
1107,4861,2579
1108,4867,2288
1109,4871,2583
1110,4873,2290
1111,4877,2587
1112,4883,2296
1113,4889,2593
1114,4891,2298
1115,4897,2599
1116,4901,2302
1117,4903,2601
1118,4909,2308
1119,4913,2605
1120,4919,2314
1121,4927,2613
1122,4931,2318
1123,4933,2615
1124,4937,2322
1125,4939,2617
1126,4943,2326
1127,4951,2625
1128,4957,2332
1129,4961,2629
1130,4967,2338
1131,4969,2631
1132,4973,2342
1133,4979,2637
1134,4981,2344
1135,4987,2643
1136,4993,2350
1137,4997,2647
1138,4999,2352
1139,5003,2651
1140,5009,2358
1141,5011,2653
1142,5017,2364
1143,5021,2657
1144,5023,2366
1145,5027,2661
1146,5029,2368
1147,5039,2671
1148,5041,2370
1149,5051,2681
1150,5053,2372
1151,5057,2685
1152,5059,2374
1153,5063,2689
1154,5069,2380
1155,5071,2691
1156,5077,2386
1157,5081,2695
1158,5083,2388
1159,5087,2699
1160,5093,2394
1161,5099,2705
1162,5101,2396
1163,5107,2711
1164,5111,2400
1165,5113,2713
1166,5119,2406
1167,5123,2717
1168,5129,2412
1169,5137,2725
1170,5141,2416
1171,5143,2727
1172,5147,2420
1173,5149,2729
1174,5153,2424
1175,5161,2737
1176,5167,2430
1177,5171,2741
1178,5177,2436
1179,5179,2743
1180,5183,2440
1181,5189,2749
1182,5191,2442
1183,5197,2755
1184,5203,2448
1185,5207,2759
1186,5209,2450
1187,5213,2763
1188,5219,2456
1189,5221,2765
1190,5227,2462
1191,5231,2769
1192,5233,2464
1193,5237,2773
1194,5239,2466
1195,5249,2783
1196,5251,2468
1197,5261,2793
1198,5263,2470
1199,5267,2797
1200,5269,2472
1201,5273,2801
1202,5279,2478
1203,5281,2803
1204,5287,2484
1205,5291,2807
1206,5293,2486
1207,5297,2811
1208,5303,2492
1209,5309,2817
1210,5311,2494
1211,5317,2823
1212,5321,2498
1213,5323,2825
1214,5329,2504
1215,5333,2829
1216,5339,2510
1217,5347,2837
1218,5351,2514
1219,5353,2839
1220,5357,2518
1221,5359,2841
1222,5363,2522
1223,5371,2849
1224,5377,2528
1225,5381,2853
1226,5387,2534
1227,5389,2855
1228,5393,2538
1229,5399,2861
1230,5401,2540
1231,5407,2867
1232,5413,2546
1233,5417,2871
1234,5419,2548
1235,5423,2875
1236,5429,2554
1237,5431,2877
1238,5437,2560
1239,5441,2881
1240,5443,2562
1241,5447,2885
1242,5449,2564
1243,5459,2895
1244,5461,2566
1245,5471,2905
1246,5473,2568
1247,5477,2909
1248,5479,2570
1249,5483,2913
1250,5489,2576
1251,5491,2915
1252,5497,2582
1253,5501,2919
1254,5503,2584
1255,5507,2923
1256,5513,2590
1257,5519,2929
1258,5521,2592
1259,5527,2935
1260,5531,2596
1261,5533,2937
1262,5539,2602
1263,5543,2941
1264,5549,2608
1265,5557,2949
1266,5561,2612
1267,5563,2951
1268,5567,2616
1269,5569,2953
1270,5573,2620
1271,5581,2961
1272,5587,2626
1273,5591,2965
1274,5597,2632
1275,5599,2967
1276,5603,2636
1277,5609,2973
1278,5611,2638
1279,5617,2979
1280,5623,2644
1281,5627,2983
1282,5629,2646
1283,5633,2987
1284,5639,2652
1285,5641,2989
1286,5647,2658
1287,5651,2993
1288,5653,2660
1289,5657,2997
1290,5659,2662
1291,5669,3007
1292,5671,2664
1293,5681,3017
1294,5683,2666
1295,5687,3021
1296,5689,2668
1297,5693,3025
1298,5699,2674
1299,5701,3027
1300,5707,2680
1301,5711,3031
1302,5713,2682
1303,5717,3035
1304,5723,2688
1305,5729,3041
1306,5731,2690
1307,5737,3047
1308,5741,2694
1309,5743,3049
1310,5749,2700
1311,5753,3053
1312,5759,2706
1313,5767,3061
1314,5771,2710
1315,5773,3063
1316,5777,2714
1317,5779,3065
1318,5783,2718
1319,5791,3073
1320,5797,2724
1321,5801,3077
1322,5807,2730
1323,5809,3079
1324,5813,2734
1325,5819,3085
1326,5821,2736
1327,5827,3091
1328,5833,2742
1329,5837,3095
1330,5839,2744
1331,5843,3099
1332,5849,2750
1333,5851,3101
1334,5857,2756
1335,5861,3105
1336,5863,2758
1337,5867,3109
1338,5869,2760
1339,5879,3119
1340,5881,2762
1341,5891,3129
1342,5893,2764
1343,5897,3133
1344,5899,2766
1345,5903,3137
1346,5909,2772
1347,5911,3139
1348,5917,2778
1349,5921,3143
1350,5923,2780
1351,5927,3147
1352,5933,2786
1353,5939,3153
1354,5941,2788
1355,5947,3159
1356,5951,2792
1357,5953,3161
1358,5959,2798
1359,5963,3165
1360,5969,2804
1361,5977,3173
1362,5981,2808
1363,5983,3175
1364,5987,2812
1365,5989,3177
1366,5993,2816
1367,6001,3185
1368,6007,2822
1369,6011,3189
1370,6017,2828
1371,6019,3191
1372,6023,2832
1373,6029,3197
1374,6031,2834
1375,6037,3203
1376,6043,2840
1377,6047,3207
1378,6049,2842
1379,6053,3211
1380,6059,2848
1381,6061,3213
1382,6067,2854
1383,6071,3217
1384,6073,2856
1385,6077,3221
1386,6079,2858
1387,6089,3231
1388,6091,2860
1389,6101,3241
1390,6103,2862
1391,6107,3245
1392,6109,2864
1393,6113,3249
1394,6119,2870
1395,6121,3251
1396,6127,2876
1397,6131,3255
1398,6133,2878
1399,6137,3259
1400,6143,2884
1401,6149,3265
1402,6151,2886
1403,6157,3271
1404,6161,2890
1405,6163,3273
1406,6169,2896
1407,6173,3277
1408,6179,2902
1409,6187,3285
1410,6191,2906
1411,6193,3287
1412,6197,2910
1413,6199,3289
1414,6203,2914
1415,6211,3297
1416,6217,2920
1417,6221,3301
1418,6227,2926
1419,6229,3303
1420,6233,2930
1421,6239,3309
1422,6241,2932
1423,6247,3315
1424,6253,2938
1425,6257,3319
1426,6259,2940
1427,6263,3323
1428,6269,2946
1429,6271,3325
1430,6277,2952
1431,6281,3329
1432,6283,2954
1433,6287,3333
1434,6289,2956
1435,6299,3343
1436,6301,2958
1437,6311,3353
1438,6313,2960
1439,6317,3357
1440,6319,2962
1441,6323,3361
1442,6329,2968
1443,6331,3363
1444,6337,2974
1445,6341,3367
1446,6343,2976
1447,6347,3371
1448,6353,2982
1449,6359,3377
1450,6361,2984
1451,6367,3383
1452,6371,2988
1453,6373,3385
1454,6379,2994
1455,6383,3389
1456,6389,3000
1457,6397,3397
1458,6401,3004
1459,6403,3399
1460,6407,3008
1461,6409,3401
1462,6413,3012
1463,6421,3409
1464,6427,3018
1465,6431,3413
1466,6437,3024
1467,6439,3415
1468,6443,3028
1469,6449,3421
1470,6451,3030
1471,6457,3427
1472,6463,3036
1473,6467,3431
1474,6469,3038
1475,6473,3435
1476,6479,3044
1477,6481,3437
1478,6487,3050
1479,6491,3441
1480,6493,3052
1481,6497,3445
1482,6499,3054
1483,6509,3455
1484,6511,3056
1485,6521,3465
1486,6523,3058
1487,6527,3469
1488,6529,3060
1489,6533,3473
1490,6539,3066
1491,6541,3475
1492,6547,3072
1493,6551,3479
1494,6553,3074
1495,6557,3483
1496,6563,3080
1497,6569,3489
1498,6571,3082
1499,6577,3495
1500,6581,3086
1501,6583,3497
1502,6589,3092
1503,6593,3501
1504,6599,3098
1505,6607,3509
1506,6611,3102
1507,6613,3511
1508,6617,3106
1509,6619,3513
1510,6623,3110
1511,6631,3521
1512,6637,3116
1513,6641,3525
1514,6647,3122
1515,6649,3527
1516,6653,3126
1517,6659,3533
1518,6661,3128
1519,6667,3539
1520,6673,3134
1521,6677,3543
1522,6679,3136
1523,6683,3547
1524,6689,3142
1525,6691,3549
1526,6697,3148
1527,6701,3553
1528,6703,3150
1529,6707,3557
1530,6709,3152
1531,6719,3567
1532,6721,3154
1533,6731,3577
1534,6733,3156
1535,6737,3581
1536,6739,3158
1537,6743,3585
1538,6749,3164
1539,6751,3587
1540,6757,3170
1541,6761,3591
1542,6763,3172
1543,6767,3595
1544,6773,3178
1545,6779,3601
1546,6781,3180
1547,6787,3607
1548,6791,3184
1549,6793,3609
1550,6799,3190
1551,6803,3613
1552,6809,3196
1553,6817,3621
1554,6821,3200
1555,6823,3623
1556,6827,3204
1557,6829,3625
1558,6833,3208
1559,6841,3633
1560,6847,3214
1561,6851,3637
1562,6857,3220
1563,6859,3639
1564,6863,3224
1565,6869,3645
1566,6871,3226
1567,6877,3651
1568,6883,3232
1569,6887,3655
1570,6889,3234
1571,6893,3659
1572,6899,3240
1573,6901,3661
1574,6907,3246
1575,6911,3665
1576,6913,3248
1577,6917,3669
1578,6919,3250
1579,6929,3679
1580,6931,3252
1581,6941,3689
1582,6943,3254
1583,6947,3693
1584,6949,3256
1585,6953,3697
1586,6959,3262
1587,6961,3699
1588,6967,3268
1589,6971,3703
1590,6973,3270
1591,6977,3707
1592,6983,3276
1593,6989,3713
1594,6991,3278
1595,6997,3719
1596,7001,3282
1597,7003,3721
1598,7009,3288
1599,7013,3725
1600,7019,3294
1601,7027,3733
1602,7031,3298
1603,7033,3735
1604,7037,3302
1605,7039,3737
1606,7043,3306
1607,7051,3745
1608,7057,3312
1609,7061,3749
1610,7067,3318
1611,7069,3751
1612,7073,3322
1613,7079,3757
1614,7081,3324
1615,7087,3763
1616,7093,3330
1617,7097,3767
1618,7099,3332
1619,7103,3771
1620,7109,3338
1621,7111,3773
1622,7117,3344
1623,7121,3777
1624,7123,3346
1625,7127,3781
1626,7129,3348
1627,7139,3791
1628,7141,3350
1629,7151,3801
1630,7153,3352
1631,7157,3805
1632,7159,3354
1633,7163,3809
1634,7169,3360
1635,7171,3811
1636,7177,3366
1637,7181,3815
1638,7183,3368
1639,7187,3819
1640,7193,3374
1641,7199,3825
1642,7201,3376
1643,7207,3831
1644,7211,3380
1645,7213,3833
1646,7219,3386
1647,7223,3837
1648,7229,3392
1649,7237,3845
1650,7241,3396
1651,7243,3847
1652,7247,3400
1653,7249,3849
1654,7253,3404
1655,7261,3857
1656,7267,3410
1657,7271,3861
1658,7277,3416
1659,7279,3863
1660,7283,3420
1661,7289,3869
1662,7291,3422
1663,7297,3875
1664,7303,3428
1665,7307,3879
1666,7309,3430
1667,7313,3883
1668,7319,3436
1669,7321,3885
1670,7327,3442
1671,7331,3889
1672,7333,3444
1673,7337,3893
1674,7339,3446
1675,7349,3903
1676,7351,3448
1677,7361,3913
1678,7363,3450
1679,7367,3917
1680,7369,3452
1681,7373,3921
1682,7379,3458
1683,7381,3923
1684,7387,3464
1685,7391,3927
1686,7393,3466
1687,7397,3931
1688,7403,3472
1689,7409,3937
1690,7411,3474
1691,7417,3943
1692,7421,3478
1693,7423,3945
1694,7429,3484
1695,7433,3949
1696,7439,3490
1697,7447,3957
1698,7451,3494
1699,7453,3959
1700,7457,3498
1701,7459,3961
1702,7463,3502
1703,7471,3969
1704,7477,3508
1705,7481,3973
1706,7487,3514
1707,7489,3975
1708,7493,3518
1709,7499,3981
1710,7501,3520
1711,7507,3987
1712,7513,3526
1713,7517,3991
1714,7519,3528
1715,7523,3995
1716,7529,3534
1717,7531,3997
1718,7537,3540
1719,7541,4001
1720,7543,3542
1721,7547,4005
1722,7549,3544
1723,7559,4015
1724,7561,3546
1725,7571,4025
1726,7573,3548
1727,7577,4029
1728,7579,3550
1729,7583,4033
1730,7589,3556
1731,7591,4035
1732,7597,3562
1733,7601,4039
1734,7603,3564
1735,7607,4043
1736,7613,3570
1737,7619,4049
1738,7621,3572
